"sitepoc","longitude","latitude"
"330150014.5",-70.748056,43.075278
"340070003.5",-75.09762,39.92304
"340230006.5",-74.42251,40.47279
"340230006.6",-74.42251,40.47279
"340273001.5",-74.6763,40.78763
"340390004.5",-74.20836,40.64144
"350010023.5",-106.58551,35.13426
"360050080.5",-73.92021,40.83608
"360050083.5",-73.88075,40.86586
"360050083.6",-73.88075,40.86586
"360050083.7",-73.88075,40.86586
"360050110.5",-73.90207,40.81616
"360290005.6",-78.80988,42.87684
"360310003.5",-73.85892,44.39309
"360551007.5",-77.54813,43.146198
"360556001.5",-77.60357,43.161
"360610062.5",-74.00409,40.72052
"360810124.6",-73.82317,40.7362
"361010003.5",-77.21025,42.09071
"370210034.5",-82.350833,35.609722
"370330001.5",-79.467417,36.307033
"370350004.5",-81.365556,35.728889
"370510009.5",-78.953112,35.041416
"370570002.5",-80.2625,35.814444
"370670022.5",-80.226667,36.110556
"370810013.5",-79.801111,36.109167
"371070004.5",-77.568792,35.231459
"371190041.5",-80.785556,35.240278
"371590021.5",-80.395039,35.551868
"371830014.5",-78.574167,35.856111
"380150003.5",-100.76821,46.825425
"380150003.6",-100.76821,46.825425
"380171004.5",-96.85535,46.933754
"380530002.5",-103.2995,47.5812
"390171004.5",-84.3925,39.53
"390350038.6",-81.681944,41.476944
"390350060.5",-81.678542,41.493955
"390350060.6",-81.678542,41.493955
"390490081.6",-82.959722,40.087778
"390530003.5",-82.109097,38.949959
"390610040.5",-84.504167,39.128611
"390610042.5",-84.551111,39.105
"390810017.5",-80.615002,40.366104
"390870010.5",-82.665556,38.519722
"390930016.5",-82.161667,41.439444
"390933002.5",-82.114444,41.463056
"390950026.5",-83.641389,41.620556
"390990014.5",-80.658426,41.095868
"391130031.5",-84.144444,39.759444
"391510017.5",-81.394444,40.786667
"391510020.5",-81.373333,40.800556
"391530023.5",-81.541667,41.088056
"400450890.5",-99.935376,36.085509
"401091037.5",-97.475083,35.614131
"401431127.5",-95.976537,36.204902
"410170120.5",-121.312579,44.063904
"410290133.5",-122.879244,42.314078
"410390060.5",-123.083737,44.026312
"410510080.5",-122.602222,45.496667
"410510080.6",-122.602222,45.496667
"410510246.6",-122.678784,45.561301
"410610119.5",-117.904797,45.338972
"420010001.5",-77.31,39.92
"420030008.6",-79.961111,40.465556
"420030021.5",-79.941389,40.413611
"420030064.6",-79.868333,40.323611
"420110009.5",-75.926667,40.320278
"420110010.5",-75.925222,40.392694
"420270100.5",-77.877028,40.811389
"420290100.5",-75.768611,39.834444
"420430401.5",-76.844722,40.245
"420450002.5",-75.3725,39.835556
"420490003.5",-80.038611,42.14175
"420692006.5",-75.623056,41.442778
"420710007.5",-76.283333,40.046667
"420950025.5",-75.341111,40.628056
"420990301.5",-77.165556,40.456944
"421010004.5",-75.097778,40.008889
"421010004.6",-75.097778,40.008889
"421010004.7",-75.097778,40.008889
"421010136.5",-75.222778,39.9275
"421011001.5",-75.0025,40.036389
"421255001.5",-80.420833,40.445278
"421290008.5",-79.505667,40.304694
"421330008.5",-76.699444,39.965278
"440070022.5",-71.415,41.807949
"440071010.5",-71.36094,41.84092
"450190049.5",-79.958694,32.790984
"450250001.5",-80.198787,34.615367
"450450009.5",-82.31307,34.901046
"450790019.5",-81.024141,33.993299
"460990006.5",-96.726435,43.544289
"470370023.5",-86.738902,36.176326
"470654002.5",-85.292975,35.050928
"470931020.5",-83.87361,36.01944
"470990002.5",-87.47,35.116111
"471570024.5",-90.041389,35.150833
"471570047.5",-90.021567,35.16895
"471631007.5",-82.521667,36.540654
"471650007.5",-86.652778,36.297778
"480430002.5",-103.6491,30.3658
"480430101.5",-103.16782,29.3025
"480612004.5",-97.166667,26.073333
"481130050.5",-96.797778,32.774167
"481130069.5",-96.860082,32.819952
"481390015.5",-97.025,32.436944
"481410044.5",-106.455225,31.765673
"481410053.5",-106.501047,31.758516
"481670014.5",-94.856568,29.263319
"482010024.5",-95.326944,29.901111
"482010026.5",-95.12555,29.8025
"482010055.5",-95.499236,29.695736
"482010803.5",-95.181111,29.748333
"482011034.5",-95.220576,29.767993
"482011039.6",-95.128485,29.670046
"482011039.7",-95.128485,29.670046
"482030002.5",-94.167449,32.669003
"482430004.5",-104.02463,30.66938
"482450021.5",-93.908889,29.922778
"482450022.5",-94.317757,29.863951
"482570005.5",-96.315833,32.569167
"482730314.5",-97.29861,27.42694
"483030001.5",-101.847594,33.590851
"483390078.5",-95.425135,30.3503
"483390089.5",-95.421667,30.353889
"483550034.5",-97.465633,27.8118
"483611100.5",-93.866944,30.194167
"484530020.5",-97.872266,30.483159
"490110001.5",-111.882222,40.886389
"490110004.5",-111.884467,40.902967
"490353006.5",-111.872222,40.736389
"490353006.6",-111.872222,40.736389
"490494001.5",-111.713611,40.341389
"500070012.5",-73.214444,44.480278
"510870014.5",-77.400278,37.558333
"511390004.5",-78.504722,38.663333
"515200006.5",-82.164444,36.607778
"517600020.5",-77.498333,37.510556
"517700014.5",-79.985,37.256111
"530330024.6",-122.2806,47.755
"530330032.5",-122.322222,47.545556
"530330032.6",-122.322222,47.545556
"530330038.6",-122.313346,47.688863
"530330048.6",-122.329719,47.6153
"530330057.6",-122.3406,47.563333
"530330080.5",-122.308596,47.570273
"530330080.6",-122.308596,47.570273
"530530029.5",-122.4517,47.1864
"530630016.5",-117.357222,47.660833
"540390011.5",-81.683889,38.448611
"540391005.5",-81.693611,38.368056
"540511002.5",-80.734057,39.91597
"550270007.5",-88.527778,43.435
"550590019.5",-87.8093,42.504722
"550710007.5",-87.616111,44.138611
"550790026.5",-87.9125,43.061111
"551198001.5",-90.6,45.203889
"551330027.5",-88.215,43.020278
